id_cliente,sector,region,consumo_kwh,factor_potencia,antiguedad_anios
CL-0099,Residencial,Andina,111.2,0.913,9.7
CL-0100,Industrial,Andina,20851.7,0.889,12.1
CL-0101,Industrial,Andina,7977.3,0.939,7.8
CL-0102,Comercial,Pacifica,989.4,0.92,13.4
CL-0103,Residencial,Caribe,159.7,0.95,9.0
CL-0104,Industrial,Andina,11118.0,0.905,7.3
CL-0105,Comercial,Pacifica,627.4,0.927,8.6
CL-0106,Comercial,Pacifica,1468.4,0.821,20.6
CL-0107,Residencial,Andina,171.6,0.982,6.5
CL-0108,Residencial,Pacifica,152.8,0.932,7.7
CL-0109,Residencial,Andina,191.6,0.838,21.6
CL-0110,Industrial,Pacifica,5991.2,0.886,13.5
CL-0111,Residencial,Caribe,333.9,0.817,22.3
CL-0112,Residencial,Caribe,268.5,0.836,21.9
CL-0113,Residencial,Andina,165.3,0.819,21.1
CL-0114,Comercial,Pacifica,1535.0,0.908,10.4
CL-0115,Residencial,Andina,111.1,0.987,3.4
CL-0116,Industrial,Andina,12180.6,0.938,7.2
CL-0117,Comercial,Andina,297.3,0.969,9.9
CL-0118,Comercial,Caribe,774.7,0.904,11.5
CL-0119,Residencial,Andina,144.7,0.929,10.5
CL-0120,Comercial,Pacifica,356.1,0.929,8.4
CL-0121,Comercial,Caribe,770.9,0.96,10.7
CL-0122,Comercial,Andina,700.2,0.878,15.0
CL-0123,Residencial,Andina,92.0,0.842,22.7
CL-0124,Residencial,Andina,249.0,0.764,27.0
CL-0125,Residencial,Caribe,38.6,0.959,10.8
CL-0126,Residencial,Pacifica,131.8,0.869,17.0
CL-0127,Residencial,Andina,209.4,0.915,10.2
CL-0128,Residencial,Pacifica,246.5,0.827,22.3
CL-0129,Residencial,Andina,40.3,0.866,20.1
CL-0130,Comercial,Pacifica,837.6,0.96,6.3
CL-0131,Residencial,Pacifica,249.0,0.858,16.7
CL-0132,Industrial,Caribe,5384.5,0.833,19.1
CL-0133,Comercial,Caribe,1818.5,0.865,20.0
CL-0134,Residencial,Pacifica,83.1,0.84,17.4
CL-0135,Comercial,Andina,2221.0,0.926,8.3
CL-0136,Residencial,Andina,64.5,0.922,8.2
CL-0137,Industrial,Andina,4272.5,0.797,22.1
CL-0138,Residencial,Caribe,115.3,0.976,6.3
CL-0139,Comercial,Caribe,774.7,0.983,5.5
CL-0140,Residencial,Caribe,83.7,0.99,4.1
CL-0141,Residencial,Pacifica,188.9,0.922,11.5
CL-0142,Residencial,Andina,45.5,0.949,8.4
CL-0143,Industrial,Caribe,6431.7,0.806,19.1
CL-0144,Comercial,Andina,1053.1,0.927,10.8
CL-0145,Residencial,Andina,195.2,0.831,21.1
CL-0146,Residencial,Caribe,108.2,0.775,27.5
CL-0147,Residencial,Pacifica,38.5,0.948,6.6
CL-0148,Comercial,Caribe,573.2,0.919,11.7
CL-0149,Residencial,Andina,343.1,0.946,10.2
CL-0150,Residencial,Caribe,131.2,0.79,24.7
CL-0151,Industrial,Andina,11129.2,0.855,16.2
CL-0152,Industrial,Pacifica,4195.5,0.936,8.6
CL-0153,Residencial,Caribe,184.2,0.944,11.9
CL-0154,Comercial,Andina,1081.7,0.947,11.0
CL-0155,Residencial,Andina,94.2,0.98,1.3
CL-0156,Comercial,Andina,1705.3,0.809,26.9
CL-0157,Residencial,Pacifica,164.2,0.866,16.8
CL-0158,Comercial,Andina,1362.1,0.897,13.6
CL-0159,Comercial,Caribe,1895.3,0.827,22.3
CL-0160,Comercial,Caribe,2056.9,0.956,3.8
CL-0161,Residencial,Caribe,249.6,0.817,22.7
CL-0162,Industrial,Andina,4808.2,0.889,11.7
CL-0163,Residencial,Pacifica,67.6,0.957,10.3
CL-0164,Residencial,Andina,126.2,0.799,26.3
CL-0165,Comercial,Caribe,2543.7,0.912,13.5
CL-0166,Residencial,Caribe,188.7,0.871,19.8
CL-0167,Industrial,Caribe,4118.9,0.827,19.8
CL-0168,Industrial,Pacifica,5335.6,0.937,13.1
CL-0169,Residencial,Andina,332.0,0.903,13.7
CL-0170,Industrial,Caribe,15926.7,0.822,20.4
CL-0171,Residencial,Andina,149.3,0.944,7.0
CL-0172,Comercial,Andina,843.2,0.922,9.2
CL-0173,Residencial,Andina,102.9,0.915,12.3
CL-0174,Industrial,Andina,5545.2,0.858,14.9
CL-0175,Residencial,Andina,142.0,0.96,10.7
CL-0176,Residencial,Andina,46.1,0.97,8.0
CL-0177,Residencial,Andina,539.5,0.785,25.8
CL-0178,Industrial,Caribe,15607.4,0.897,11.8
CL-0179,Industrial,Caribe,22542.4,0.797,24.8
CL-0180,Comercial,Andina,805.9,0.878,15.6
CL-0181,Industrial,Andina,11891.6,0.807,19.0
CL-0182,Industrial,Andina,8914.5,0.787,25.0
CL-0183,Comercial,Caribe,1488.0,0.968,8.4
CL-0184,Residencial,Andina,190.1,0.844,19.3
CL-0185,Comercial,Andina,1988.6,0.935,6.1
CL-0186,Comercial,Andina,972.5,0.932,6.5
CL-0187,Residencial,Andina,332.0,0.884,12.9
CL-0188,Residencial,Andina,117.3,0.836,22.3
CL-0189,Comercial,Caribe,529.5,0.946,7.7
CL-0190,Residencial,Caribe,62.7,0.943,14.7
CL-0191,Industrial,Caribe,7147.1,0.924,6.4
CL-0192,Residencial,Caribe,249.1,0.963,5.4
CL-0193,Residencial,Caribe,447.8,0.938,8.6
CL-0194,Industrial,Andina,9423.1,0.898,12.3
CL-0195,Residencial,Caribe,327.3,0.883,14.0
CL-0196,Residencial,Caribe,221.0,0.914,11.4
CL-0197,Comercial,Andina,806.9,0.947,5.3
CL-0198,Industrial,Caribe,5864.0,0.902,10.9
CL-0199,Residencial,Andina,206.6,0.877,15.7
CL-0200,Residencial,Caribe,184.2,0.962,4.0
CL-0201,Comercial,Caribe,2239.5,0.941,9.2
CL-0202,Industrial,Pacifica,7520.1,0.828,13.3
CL-0203,Comercial,Pacifica,946.6,0.916,10.4
CL-0204,Residencial,Caribe,224.4,0.984,3.8
CL-0205,Residencial,Caribe,65.2,0.869,16.6
CL-0206,Residencial,Caribe,296.8,0.895,14.9
CL-0207,Residencial,Andina,174.2,0.953,6.8
CL-0208,Comercial,Pacifica,919.4,0.913,10.7
CL-0209,Residencial,Andina,160.6,0.955,7.8
CL-0210,Comercial,Andina,1092.2,0.943,10.5
CL-0211,Comercial,Andina,622.2,0.95,8.2
CL-0212,Comercial,Pacifica,1021.2,0.926,8.9
CL-0213,Residencial,Andina,85.8,0.943,8.4
CL-0214,Industrial,Andina,4097.5,0.839,17.8
CL-0215,Comercial,Andina,874.1,0.828,19.9
CL-0216,Comercial,Andina,1372.1,0.877,12.7
CL-0217,Residencial,Andina,174.0,0.931,6.9
CL-0218,Residencial,Caribe,30.0,0.876,16.2
CL-0219,Industrial,Andina,8402.7,0.947,6.2
CL-0220,Residencial,Pacifica,431.1,0.831,18.4
CL-0221,Residencial,Pacifica,334.3,0.785,24.8
CL-0222,Residencial,Andina,327.9,0.819,21.8
CL-0223,Comercial,Andina,1281.2,0.836,19.6
CL-0224,Industrial,Caribe,7511.6,0.903,11.3
CL-0225,Residencial,Andina,90.2,0.942,9.2
CL-0226,Industrial,Andina,8668.6,0.905,11.4
CL-0227,Residencial,Pacifica,148.3,0.92,9.6
CL-0228,Comercial,Pacifica,1641.9,0.919,9.3
CL-0229,Comercial,Caribe,3082.4,0.81,23.3
CL-0230,Residencial,Andina,98.2,0.943,9.5
CL-0231,Residencial,Caribe,112.7,0.955,7.8
CL-0232,Residencial,Caribe,261.5,0.803,24.0
CL-0233,Industrial,Andina,7891.5,0.967,6.4
CL-0234,Comercial,Caribe,1430.7,0.935,9.3
CL-0235,Industrial,Andina,5943.9,0.844,17.2
CL-0236,Industrial,Andina,4327.6,0.917,9.5
CL-0237,Residencial,Caribe,199.7,0.959,6.5
CL-0238,Comercial,Andina,868.6,0.938,11.7
CL-0239,Residencial,Andina,110.9,0.822,23.1
CL-0240,Residencial,Pacifica,359.4,0.929,5.6
CL-0241,Industrial,Pacifica,7840.6,0.941,8.7
CL-0242,Comercial,Caribe,1638.6,0.943,11.5
CL-0243,Residencial,Pacifica,89.6,0.919,12.6
CL-0244,Comercial,Pacifica,1118.6,0.86,21.8
CL-0245,Comercial,Andina,1637.6,0.99,2.2
CL-0246,Industrial,Andina,3653.1,0.868,18.3
CL-0247,Comercial,Andina,503.0,0.964,7.1
CL-0248,Residencial,Andina,75.1,0.972,6.6
CL-0249,Residencial,Caribe,103.7,0.848,15.2
CL-0250,Residencial,Andina,229.5,0.917,8.3
CL-0251,Comercial,Andina,1085.4,0.88,14.1
CL-0252,Industrial,Andina,14747.0,0.792,23.3
CL-0253,Residencial,Andina,52.0,0.883,16.1
CL-0254,Residencial,Pacifica,112.2,0.971,6.1
CL-0255,Residencial,Andina,140.4,0.812,21.5
CL-0256,Comercial,Andina,483.6,0.939,6.4
CL-0257,Industrial,Andina,6761.2,0.895,10.4
CL-0258,Residencial,Andina,112.1,0.924,14.6
CL-0259,Residencial,Caribe,171.4,0.934,10.6
CL-0260,Comercial,Andina,854.1,0.941,11.1
CL-0261,Residencial,Andina,97.3,0.849,17.1
CL-0262,Industrial,Andina,10567.7,0.918,4.7
CL-0263,Residencial,Pacifica,249.6,0.835,19.5
CL-0264,Residencial,Caribe,300.4,0.962,9.5
CL-0265,Industrial,Caribe,5114.3,0.953,6.1
CL-0266,Residencial,Caribe,79.7,0.94,6.0
CL-0267,Residencial,Caribe,239.7,0.857,22.4
CL-0268,Residencial,Andina,147.6,0.924,11.8
CL-0269,Residencial,Andina,206.4,0.895,14.4
CL-0270,Residencial,Caribe,1264.2,0.8,23.6
CL-0271,Residencial,Andina,270.5,0.961,7.1
CL-0272,Residencial,Pacifica,122.6,0.923,12.1
CL-0273,Residencial,Andina,239.6,0.858,19.5
CL-0274,Comercial,Caribe,1156.3,0.9,11.7
CL-0275,Comercial,Pacifica,1104.9,0.976,6.8
CL-0276,Residencial,Caribe,228.4,0.956,9.3
CL-0277,Residencial,Pacifica,104.6,0.968,5.8
CL-0278,Comercial,Caribe,1748.9,0.943,9.0
CL-0279,Industrial,Pacifica,8814.8,0.824,17.4
CL-0280,Industrial,Andina,7607.1,0.933,4.8
CL-0281,Residencial,Andina,298.2,0.823,18.1
CL-0282,Residencial,Caribe,94.0,0.822,21.4
CL-0283,Residencial,Andina,150.2,0.933,9.8
CL-0284,Residencial,Andina,125.0,0.827,24.2
CL-0285,Comercial,Pacifica,639.0,0.81,22.2
CL-0286,Residencial,Caribe,99.1,0.837,23.3
CL-0287,Residencial,Andina,127.2,0.976,3.4
CL-0288,Residencial,Andina,129.1,0.905,11.8
CL-0289,Comercial,Andina,1101.1,0.923,10.7
CL-0290,Residencial,Andina,62.3,0.972,7.0
CL-0291,Industrial,Pacifica,7956.8,0.972,3.1
CL-0292,Residencial,Andina,48.4,0.978,3.1
CL-0293,Industrial,Andina,5469.2,0.911,8.8
CL-0294,Residencial,Caribe,147.7,0.821,21.1
CL-0295,Industrial,Andina,3199.5,0.9,14.8
CL-0296,Industrial,Andina,8804.6,0.923,7.3
CL-0297,Industrial,Caribe,5356.7,0.907,13.7
CL-0298,Industrial,Caribe,3261.4,0.918,9.8
CL-0299,Comercial,Pacifica,393.0,0.932,9.6
CL-0300,Comercial,Caribe,1312.7,0.962,4.4
