id_cliente,sector,region,consumo_kwh,costo_miles_cop,area_m2,potencia_instalada_kw,num_equipos,horas_operacion,temperatura_c,factor_potencia,antiguedad_anios,interrupciones_mes,PC1,PC2,cluster,cluster_jerarquico,silueta
CL-0019,Industrial,Andina,7226.8,4846.4,547.6,51.24,31,465,18.6,0.905,13.1,0,-0.0028,1.6075,3,0,0.3809
CL-0020,Comercial,Pacifica,797.0,573.2,124.9,8.43,14,245,27.7,0.903,11.8,0,0.3359,0.3308,3,0,0.2791
CL-0021,Comercial,Pacifica,1169.6,880.1,205.9,15.25,16,253,24.4,0.955,10.6,1,1.0441,0.6416,3,0,0.4919
CL-0022,Residencial,Andina,143.5,122.6,65.2,6.15,7,85,13.4,0.887,11.5,0,0.3508,-0.6956,0,2,0.4308
CL-0023,Industrial,Andina,1876.6,1233.9,187.2,15.25,17,460,20.1,0.924,11.6,1,0.5207,0.8655,3,0,0.5887
CL-0024,Industrial,Caribe,6780.4,4181.3,742.0,40.55,55,478,29.5,0.802,20.2,3,-1.9896,1.2736,2,1,0.6198
CL-0025,Comercial,Pacifica,872.3,662.3,140.4,9.55,11,280,22.6,0.85,16.0,2,-0.7582,0.2169,2,1,0.254
CL-0026,Residencial,Caribe,233.1,195.2,83.7,7.14,11,96,27.6,0.842,19.3,2,-1.0802,-0.668,1,3,0.5643
CL-0027,Residencial,Pacifica,112.9,91.2,58.8,3.3,4,92,27.5,0.887,17.4,2,-0.2676,-1.0035,1,2,0.197
CL-0028,Residencial,Caribe,113.9,90.9,39.4,2.95,4,114,28.4,0.851,20.8,3,-1.0652,-1.1274,1,3,0.6285
CL-0029,Residencial,Caribe,44.7,37.0,96.3,4.44,7,40,28.0,0.935,11.1,1,1.0798,-1.3328,0,2,0.5427
CL-0030,Comercial,Andina,1217.8,806.8,226.3,15.61,13,281,19.8,0.954,4.9,0,1.649,0.8243,3,0,0.4506
CL-0031,Comercial,Caribe,1073.5,783.5,165.1,13.31,19,260,26.9,0.98,8.0,0,1.632,0.687,3,0,0.3948
CL-0032,Industrial,Andina,4188.0,2578.1,260.2,30.97,38,482,15.4,0.933,8.8,3,0.8518,1.4299,3,0,0.6284
CL-0033,Residencial,Caribe,336.6,280.1,54.7,5.38,6,153,29.4,0.934,8.9,1,1.1053,-0.0714,0,2,0.3334
CL-0034,Residencial,Pacifica,50.4,40.4,33.4,3.49,4,40,26.8,0.83,18.5,5,-0.9818,-1.5677,1,3,0.5415
CL-0035,Residencial,Andina,62.0,50.3,64.1,4.14,6,40,18.0,0.837,22.6,1,-1.3661,-1.5527,1,3,0.615
CL-0036,Residencial,Caribe,102.6,81.6,36.9,2.46,4,122,30.8,0.973,8.1,1,1.7734,-0.7188,0,2,0.653
CL-0037,Residencial,Andina,140.7,114.7,57.5,4.26,4,110,17.4,0.942,15.4,1,0.5796,-0.7646,0,2,0.5427
CL-0038,Residencial,Caribe,70.5,62.2,49.5,1.86,2,118,30.0,0.943,8.8,1,1.3794,-0.9899,0,2,0.6861
CL-0039,Residencial,Andina,62.8,54.3,43.2,2.04,3,89,16.5,0.81,27.2,3,-2.1881,-1.6994,1,3,0.5918
CL-0040,Comercial,Pacifica,1284.3,924.8,299.3,12.29,18,290,26.1,0.812,27.1,9,-2.4559,0.1003,2,1,0.3035
CL-0041,Residencial,Andina,135.7,111.2,65.8,2.91,8,152,17.2,0.944,10.6,1,1.1296,-0.6499,0,2,0.6841
CL-0042,Industrial,Pacifica,4268.5,2824.1,531.9,25.02,35,502,26.4,0.911,9.1,3,0.5566,1.412,3,0,0.589
CL-0043,Comercial,Pacifica,2551.7,1893.6,221.2,30.89,17,248,27.5,0.878,17.5,3,-0.6975,0.8397,2,0,0.1772
CL-0044,Residencial,Caribe,54.4,43.1,44.5,3.57,3,40,30.1,0.956,7.0,2,1.7554,-1.0814,0,2,0.6563
CL-0045,Industrial,Caribe,11671.0,7446.3,476.1,55.02,25,515,29.1,0.827,18.7,3,-1.5845,1.6622,2,1,0.4412
CL-0046,Industrial,Caribe,9626.4,5711.9,632.6,51.33,53,535,27.4,0.874,14.1,0,-0.5076,1.7208,3,0,0.098
CL-0047,Residencial,Pacifica,186.1,159.5,39.9,3.95,4,139,26.1,0.947,8.6,1,1.3513,-0.4032,0,2,0.6055
CL-0048,Residencial,Andina,88.1,78.2,62.9,4.14,5,70,16.9,0.93,9.2,0,1.1595,-0.8808,0,2,0.688
CL-0049,Comercial,Caribe,1151.5,820.2,196.9,11.9,17,290,29.4,0.901,12.4,0,0.2101,0.5309,3,0,0.4224
CL-0050,Residencial,Andina,206.3,154.8,46.2,4.21,6,149,21.4,0.915,11.4,0,0.657,-0.4505,0,2,0.5551
CL-0051,Residencial,Caribe,347.3,291.7,95.5,6.03,8,180,28.0,0.948,10.5,0,1.0937,-0.0844,0,2,0.3463
CL-0052,Residencial,Andina,62.7,49.6,36.6,3.26,2,71,17.8,0.958,8.8,0,1.5688,-1.0454,0,2,0.6763
CL-0053,Comercial,Caribe,474.1,327.7,67.1,5.66,7,250,31.1,0.846,17.4,4,-0.897,-0.1887,1,1,0.1521
CL-0054,Comercial,Caribe,2202.6,1603.0,331.2,22.64,35,294,29.2,0.952,8.6,1,1.163,1.0712,3,0,0.605
CL-0055,Comercial,Andina,2747.1,1970.3,522.0,29.38,47,263,21.7,0.893,13.3,0,-0.0698,1.0153,3,0,0.3614
CL-0056,Comercial,Caribe,599.5,417.3,182.2,8.9,17,210,28.2,0.94,6.3,0,1.4017,0.3503,3,0,0.1824
CL-0057,Residencial,Caribe,122.4,97.7,37.6,2.17,2,129,29.6,0.964,5.6,2,1.9213,-0.5523,0,2,0.5911
CL-0058,Comercial,Caribe,1526.2,1089.1,162.2,12.51,23,286,27.4,0.821,20.6,2,-1.6587,0.3934,2,1,0.5366
CL-0059,Residencial,Andina,123.8,99.9,55.3,3.24,4,114,16.3,0.956,10.1,1,1.3354,-0.6791,0,2,0.6915
CL-0060,Residencial,Caribe,204.0,159.8,41.8,3.95,6,120,29.5,0.825,23.3,5,-1.7038,-0.8753,1,3,0.6247
CL-0061,Comercial,Pacifica,1078.6,755.6,109.5,9.52,7,248,27.7,0.849,21.8,6,-1.423,0.1798,2,1,0.3664
CL-0062,Residencial,Andina,296.0,246.0,79.8,5.82,5,177,17.6,0.918,12.5,1,0.5366,-0.2638,0,2,0.4141
CL-0063,Comercial,Andina,1214.7,856.3,250.4,22.32,28,219,19.5,0.914,9.8,1,0.6418,0.6478,3,0,0.5162
CL-0064,Comercial,Andina,727.3,487.2,99.3,9.42,8,234,16.8,0.819,22.7,3,-1.8368,-0.1081,2,1,0.0692
CL-0065,Comercial,Caribe,1412.6,1042.6,269.5,14.36,26,260,28.3,0.907,12.0,5,0.3042,0.6694,3,0,0.5034
CL-0066,Comercial,Andina,4299.1,2717.9,431.3,42.22,38,300,22.4,0.905,12.3,1,0.1364,1.321,3,0,0.4685
CL-0067,Comercial,Caribe,981.1,684.1,230.9,12.78,16,193,29.8,0.848,19.8,6,-1.2075,0.1785,2,1,0.3284
CL-0068,Residencial,Caribe,108.7,86.9,51.5,4.6,6,51,27.6,0.791,21.8,2,-1.8801,-1.2398,1,3,0.6588
CL-0069,Residencial,Andina,50.6,41.8,49.1,4.05,4,40,15.6,0.928,9.8,1,1.126,-1.2293,0,2,0.5889
CL-0070,Residencial,Pacifica,191.3,160.4,72.5,4.8,4,111,24.1,0.935,9.5,1,1.1084,-0.4233,0,2,0.6081
CL-0071,Residencial,Caribe,31.5,27.0,17.7,1.6,2,60,30.9,0.918,9.9,0,1.0442,-1.5234,0,2,0.462
CL-0072,Residencial,Andina,121.1,96.5,62.4,4.3,6,93,16.3,0.829,20.6,1,-1.3101,-1.1061,1,3,0.675
CL-0073,Industrial,Andina,4710.8,3085.6,238.6,25.73,46,510,17.3,0.931,10.7,0,0.6094,1.4447,3,0,0.5946
CL-0074,Residencial,Andina,228.2,188.6,77.0,9.73,6,81,16.9,0.99,1.5,0,2.6134,-0.0425,0,0,0.2583
CL-0075,Residencial,Andina,215.6,164.7,56.1,5.35,4,120,18.5,0.812,19.0,2,-1.395,-0.7343,1,3,0.5938
CL-0076,Residencial,Andina,193.1,170.4,107.5,6.42,8,97,15.3,0.838,17.4,0,-0.9018,-0.7305,1,3,0.54
CL-0077,Residencial,Pacifica,144.7,111.8,30.3,3.03,3,140,23.8,0.848,23.0,4,-1.3643,-1.0495,1,3,0.6829
CL-0078,Comercial,Andina,1195.0,862.7,193.3,14.51,14,281,17.4,0.908,14.1,1,0.1041,0.512,3,0,0.3942
CL-0079,Comercial,Andina,874.3,630.5,252.6,13.29,15,229,18.2,0.881,15.0,0,-0.2824,0.2755,3,1,0.0709
CL-0080,Comercial,Caribe,946.2,679.2,112.5,10.94,9,252,29.7,0.825,18.5,2,-1.3348,0.1716,2,1,0.346
CL-0081,Comercial,Caribe,1719.8,1196.9,279.2,14.13,21,307,27.4,0.793,22.1,4,-2.1657,0.396,2,1,0.5229
CL-0082,Residencial,Pacifica,358.8,304.0,84.0,9.09,9,128,27.4,0.977,7.1,1,1.8042,0.0576,0,2,0.2295
CL-0083,Industrial,Caribe,6006.6,3604.3,510.3,32.88,42,417,27.5,0.819,20.3,6,-1.787,1.2147,2,1,0.6096
CL-0084,Residencial,Andina,119.6,97.8,40.7,2.84,3,140,16.0,0.955,10.6,2,1.2726,-0.7146,0,2,0.6975
CL-0085,Residencial,Andina,77.5,62.1,56.0,4.26,5,61,15.1,0.957,6.0,1,1.8406,-0.842,0,2,0.6524
CL-0086,Residencial,Pacifica,194.4,155.1,33.5,3.59,3,174,28.6,0.967,8.5,0,1.5947,-0.3556,0,2,0.5657
CL-0087,Comercial,Caribe,1142.4,825.0,148.5,10.58,10,306,30.3,0.926,11.0,2,0.6594,0.589,3,0,0.4858
CL-0088,Residencial,Pacifica,180.6,154.5,53.1,4.04,4,123,27.2,0.913,14.7,1,0.2873,-0.6239,0,2,0.3979
CL-0089,Residencial,Andina,99.1,80.1,23.7,2.26,2,117,19.5,0.839,20.3,0,-1.1389,-1.2075,1,3,0.6395
CL-0090,Comercial,Pacifica,506.1,370.6,86.9,5.88,6,251,31.6,0.968,6.1,0,1.7721,0.2816,3,0,0.0163
CL-0091,Residencial,Caribe,304.9,250.5,57.0,5.68,6,141,25.6,0.915,8.0,1,0.9882,-0.123,0,2,0.3715
CL-0092,Comercial,Andina,880.9,603.1,166.4,12.26,15,243,15.5,0.944,6.7,1,1.3669,0.5718,3,0,0.3915
CL-0093,Residencial,Caribe,83.2,67.5,22.6,1.93,1,121,27.8,0.974,7.7,1,1.8498,-0.8313,0,2,0.6504
CL-0094,Residencial,Caribe,362.5,293.7,68.8,7.52,7,149,27.3,0.943,5.8,1,1.5421,0.068,0,2,0.2087
CL-0095,Residencial,Andina,125.8,100.2,59.4,6.17,5,85,14.8,0.958,7.4,1,1.6515,-0.5921,0,2,0.6469
CL-0096,Comercial,Andina,677.5,489.3,135.9,9.25,13,232,16.4,0.917,11.0,0,0.6052,0.2698,3,0,0.2114
CL-0097,Residencial,Pacifica,63.0,52.1,38.8,2.85,3,56,23.6,0.841,17.3,4,-0.7432,-1.391,1,3,0.4968
CL-0098,Residencial,Andina,105.8,81.2,61.6,4.97,5,62,17.7,0.884,15.0,1,-0.0353,-0.9777,0,2,0.0308
CL-0099,Residencial,Andina,58.8,45.0,51.5,4.77,4,40,17.1,0.962,5.6,0,1.9711,-0.9903,0,2,0.6304
CL-0100,Industrial,Andina,19612.5,12765.2,1955.4,108.56,147,513,18.0,0.787,23.0,1,-2.5786,1.8127,2,1,0.5042
CL-0101,Industrial,Andina,13220.8,8185.4,615.4,69.98,78,561,18.0,0.788,19.4,2,-2.1352,1.6799,2,1,0.5235
CL-0102,Comercial,Pacifica,2210.9,1588.7,157.2,16.66,11,324,27.2,0.825,20.8,3,-1.6702,0.612,2,1,0.6231
CL-0103,Residencial,Caribe,61.9,52.4,56.2,3.79,5,40,28.3,0.827,19.8,2,-1.1795,-1.4847,1,3,0.6042
CL-0104,Industrial,Andina,13308.5,8084.4,861.2,76.81,97,513,21.2,0.836,16.2,0,-1.2188,1.8187,2,1,0.27
CL-0105,Comercial,Pacifica,1586.9,1063.1,169.3,11.03,20,324,26.5,0.799,23.9,2,-2.2826,0.3034,2,1,0.4626
CL-0106,Comercial,Pacifica,1150.5,871.6,298.7,14.63,30,239,22.3,0.843,18.7,4,-1.1629,0.2993,2,1,0.4121
CL-0107,Residencial,Andina,127.9,106.3,52.3,4.1,3,115,15.0,0.96,5.4,0,1.8913,-0.5244,0,2,0.5886
CL-0108,Residencial,Pacifica,65.4,52.7,50.5,3.65,4,40,22.5,0.798,23.4,5,-1.9205,-1.5802,1,3,0.6354
CL-0109,Residencial,Andina,154.5,121.9,52.1,3.73,3,122,17.0,0.913,8.8,0,0.9454,-0.5516,0,2,0.6429
CL-0110,Industrial,Pacifica,7338.1,4600.5,608.2,45.86,40,432,25.8,0.82,17.9,8,-1.5338,1.402,2,1,0.504
CL-0111,Residencial,Caribe,282.1,220.3,98.6,7.06,11,119,28.1,0.99,1.8,1,2.5595,0.0752,0,0,0.1946
CL-0112,Residencial,Caribe,78.6,66.7,44.4,5.34,3,40,33.0,0.94,8.9,0,1.3221,-0.9308,0,2,0.6951
CL-0113,Residencial,Andina,133.9,106.4,43.5,4.27,4,134,18.1,0.937,10.0,1,1.1134,-0.6476,0,2,0.6828
CL-0114,Comercial,Pacifica,1497.8,1110.0,230.4,15.56,13,306,27.5,0.931,6.6,0,1.1707,0.878,3,0,0.5665
CL-0115,Residencial,Andina,79.3,64.0,65.9,3.53,3,75,15.1,0.918,11.4,0,0.7883,-1.0163,0,2,0.5691
CL-0116,Industrial,Andina,7236.9,4438.3,1163.0,59.42,73,429,15.0,0.94,6.0,0,1.1848,1.8402,3,0,0.5657
CL-0117,Comercial,Andina,179.7,125.4,89.4,3.52,5,163,17.1,0.929,11.5,1,0.8258,-0.5222,0,2,0.6157
CL-0118,Comercial,Caribe,964.0,612.6,122.4,10.03,12,248,29.3,0.946,11.1,0,0.9025,0.5041,3,0,0.4204
CL-0119,Residencial,Andina,86.6,70.7,44.6,3.78,4,84,13.3,0.959,5.6,0,1.8968,-0.7628,0,2,0.6367
CL-0120,Comercial,Pacifica,256.1,180.6,78.8,3.83,7,190,25.6,0.803,22.6,13,-1.9109,-0.7412,1,3,0.5401
CL-0121,Comercial,Caribe,795.4,583.4,120.7,7.9,11,280,29.0,0.939,9.8,2,0.9804,0.4196,3,0,0.3406
CL-0122,Comercial,Andina,520.0,341.3,123.3,7.3,16,240,16.6,0.919,9.3,0,0.8405,0.1619,3,0,0.0308
CL-0123,Residencial,Andina,57.7,49.5,59.5,3.23,4,62,15.4,0.943,8.7,0,1.4103,-1.1062,0,2,0.6584
CL-0124,Residencial,Andina,151.7,128.5,80.3,6.27,7,85,15.9,0.955,8.3,1,1.4992,-0.5088,0,2,0.64
CL-0125,Residencial,Caribe,172.8,148.8,44.3,2.54,6,158,28.6,0.946,9.6,1,1.238,-0.4762,0,2,0.6375
CL-0126,Residencial,Pacifica,131.8,107.8,35.6,3.31,5,137,26.2,0.871,16.3,3,-0.3529,-0.8957,1,2,0.2524
CL-0127,Residencial,Andina,170.2,145.2,60.4,4.79,3,104,18.2,0.812,20.5,2,-1.5347,-0.9169,1,3,0.6537
CL-0128,Residencial,Pacifica,286.7,221.3,79.4,5.77,7,138,28.2,0.896,10.0,2,0.5515,-0.2335,0,2,0.3929
CL-0129,Residencial,Andina,34.4,29.0,41.6,1.82,5,58,16.4,0.796,21.9,0,-1.7165,-1.9222,1,3,0.5518
CL-0130,Comercial,Pacifica,692.9,476.8,136.1,7.55,12,261,25.1,0.974,7.5,0,1.6592,0.435,3,0,0.2085
CL-0131,Residencial,Pacifica,279.2,213.8,62.5,6.53,6,117,26.9,0.944,8.6,2,1.2751,-0.1648,0,2,0.4432
CL-0132,Industrial,Caribe,3553.3,2171.9,568.9,21.75,43,459,30.2,0.924,6.5,1,1.0121,1.388,3,0,0.6355
CL-0133,Comercial,Caribe,1532.0,1088.0,240.9,16.03,19,280,28.1,0.92,9.5,2,0.7223,0.7999,3,0,0.576
CL-0134,Residencial,Pacifica,83.6,66.3,43.8,3.3,5,75,27.6,0.939,4.9,2,1.7396,-0.7831,0,2,0.665
CL-0135,Comercial,Andina,2053.2,1479.7,298.2,20.63,20,283,19.0,0.818,19.0,0,-1.5497,0.6118,2,1,0.614
CL-0136,Residencial,Andina,124.3,94.6,35.0,2.55,3,135,19.6,0.805,24.9,1,-2.0653,-1.2336,1,3,0.6324
CL-0137,Industrial,Andina,4926.6,2884.8,405.0,45.17,51,349,20.6,0.93,8.2,0,0.8653,1.5404,3,0,0.6109
CL-0138,Residencial,Caribe,246.8,213.5,42.3,4.37,4,164,27.3,0.95,6.0,2,1.6417,-0.1597,0,2,0.4335
CL-0139,Comercial,Caribe,563.6,414.6,88.9,11.77,11,123,29.0,0.903,13.4,1,0.1964,0.0799,3,0,-0.0011
CL-0140,Residencial,Caribe,59.6,46.8,32.1,2.33,6,82,29.0,0.929,9.0,1,1.2086,-1.1086,0,2,0.6404
CL-0141,Residencial,Pacifica,271.8,222.9,66.6,5.76,4,156,25.8,0.937,7.1,4,1.3583,-0.1454,0,2,0.4293
CL-0142,Residencial,Andina,73.1,62.4,45.8,2.76,5,96,15.7,0.847,20.5,3,-1.0355,-1.3865,1,3,0.5921
CL-0143,Industrial,Caribe,5803.3,3776.4,387.2,33.55,26,414,26.0,0.824,23.7,2,-2.0946,1.1038,2,1,0.6561
CL-0144,Comercial,Andina,720.6,514.7,177.7,10.96,18,211,17.2,0.935,9.4,1,0.9864,0.3683,3,0,0.288
CL-0145,Residencial,Andina,282.5,241.8,86.4,5.57,8,156,15.5,0.902,12.7,1,0.33,-0.3122,0,2,0.4022
CL-0146,Residencial,Caribe,30.0,23.9,26.7,1.88,3,40,29.2,0.845,17.3,2,-0.6215,-1.8285,1,3,0.3711
CL-0147,Residencial,Pacifica,124.6,102.3,36.4,1.82,4,161,24.4,0.87,14.8,2,-0.1957,-0.8881,1,2,0.1021
CL-0148,Comercial,Caribe,803.0,569.7,82.2,9.6,11,258,26.8,0.922,10.6,0,0.6909,0.3868,3,0,0.3351
CL-0149,Residencial,Andina,150.3,121.9,85.9,8.5,11,56,17.5,0.925,10.1,0,0.9488,-0.593,0,2,0.6554
CL-0150,Residencial,Caribe,177.6,143.4,41.0,4.92,3,84,29.3,0.826,18.9,2,-1.1989,-0.8336,1,3,0.6385
CL-0151,Industrial,Andina,5996.5,3848.9,779.9,43.06,105,434,18.2,0.813,19.5,1,-1.7708,1.2305,2,1,0.6034
CL-0152,Industrial,Pacifica,4419.4,2832.3,328.1,24.47,33,519,30.4,0.901,13.1,6,-0.0009,1.3112,3,0,0.4051
CL-0153,Residencial,Caribe,188.8,148.3,44.9,3.29,4,143,29.6,0.833,23.4,2,-1.6121,-0.9166,1,3,0.6472
CL-0154,Comercial,Andina,799.9,586.1,257.3,10.9,14,183,18.0,0.951,7.7,1,1.3506,0.493,3,0,0.3361
CL-0155,Residencial,Andina,112.8,88.9,58.2,3.46,4,92,14.8,0.801,26.8,4,-2.3098,-1.3484,1,3,0.5914
CL-0156,Comercial,Andina,1570.5,1105.3,197.7,19.69,20,221,14.4,0.894,13.2,1,0.0089,0.6865,3,0,0.3741
CL-0157,Residencial,Pacifica,269.7,218.5,56.2,4.15,5,168,29.2,0.955,8.4,2,1.4307,-0.1694,0,2,0.4509
CL-0158,Comercial,Andina,965.4,695.3,176.5,16.1,19,199,15.2,0.956,9.4,0,1.2059,0.562,3,0,0.4186
CL-0159,Comercial,Caribe,2142.9,1392.5,185.0,20.5,22,332,26.9,0.918,10.3,1,0.5779,0.9752,3,0,0.6148
CL-0160,Comercial,Caribe,2010.3,1478.2,283.1,19.88,14,259,28.9,0.926,13.8,1,0.2979,0.8467,3,0,0.5329
CL-0161,Residencial,Caribe,108.0,86.2,66.0,6.35,8,58,28.8,0.951,10.2,0,1.279,-0.7678,0,2,0.7021
CL-0162,Industrial,Andina,5240.8,3517.8,305.9,34.75,24,450,15.2,0.971,5.4,0,1.6497,1.6943,3,0,0.5409
CL-0163,Residencial,Pacifica,43.8,35.2,28.3,1.83,2,74,25.4,0.99,5.4,0,2.354,-1.1334,0,2,0.5608
CL-0164,Residencial,Andina,73.9,60.5,65.8,5.08,5,53,19.5,0.812,26.4,1,-2.0936,-1.5783,1,3,0.6163
CL-0165,Comercial,Caribe,2297.2,1755.9,332.9,23.24,29,264,27.4,0.828,21.7,3,-1.7366,0.6124,2,1,0.6251
CL-0166,Residencial,Caribe,70.7,57.3,43.6,3.21,2,55,26.2,0.839,17.0,2,-0.7457,-1.3159,1,3,0.5068
CL-0167,Industrial,Caribe,2115.8,1421.2,242.0,16.33,25,382,30.9,0.958,9.1,1,1.1836,1.039,3,0,0.5981
CL-0168,Industrial,Pacifica,5802.1,3719.1,500.0,35.63,36,463,27.0,0.974,6.4,1,1.5661,1.7296,3,0,0.5512
CL-0169,Residencial,Andina,117.5,97.9,65.3,9.23,7,40,15.8,0.807,23.3,1,-1.8617,-1.2204,1,3,0.6605
CL-0170,Industrial,Caribe,13439.1,8625.1,1118.2,100.42,109,446,25.8,0.922,6.1,1,0.8987,2.1885,3,0,0.4655
CL-0171,Residencial,Andina,89.3,75.7,72.7,4.35,8,69,15.5,0.93,10.4,1,1.0275,-0.9063,0,2,0.6605
CL-0172,Comercial,Andina,1017.0,702.2,126.0,13.73,13,221,16.9,0.848,16.9,1,-0.8953,0.281,2,1,0.336
CL-0173,Residencial,Andina,193.6,152.5,43.5,3.01,3,200,19.3,0.876,18.7,1,-0.5935,-0.7295,1,2,0.3893
CL-0174,Industrial,Andina,6440.2,4016.5,441.0,40.03,44,483,14.9,0.938,5.9,1,1.1837,1.7717,3,0,0.5798
CL-0175,Residencial,Andina,152.6,125.6,47.7,4.23,6,121,16.8,0.873,19.1,3,-0.6488,-0.8851,1,2,0.4534
CL-0176,Residencial,Andina,30.0,24.4,39.3,2.27,4,40,18.4,0.918,12.9,0,0.7224,-1.6364,0,2,0.3241
CL-0177,Residencial,Andina,224.4,189.3,175.0,9.23,9,81,12.2,0.891,13.2,0,0.1683,-0.4735,0,2,0.3252
CL-0178,Industrial,Caribe,21243.4,14305.4,956.0,137.14,105,490,31.1,0.902,8.0,2,0.4091,2.3888,3,0,0.348
CL-0179,Industrial,Caribe,9889.1,6082.0,1192.2,76.67,56,434,26.6,0.937,6.9,1,1.02,1.9978,3,0,0.5224
CL-0180,Comercial,Andina,770.5,531.0,123.5,8.51,12,301,17.7,0.952,12.7,0,0.8217,0.3317,3,0,0.2681
CL-0181,Industrial,Andina,9299.7,5609.8,867.9,55.61,47,426,17.5,0.887,11.4,0,-0.0561,1.7881,3,0,0.333
CL-0182,Industrial,Andina,9206.0,6370.3,747.3,51.46,80,467,19.2,0.806,18.5,1,-1.7877,1.5068,2,1,0.5341
CL-0183,Comercial,Caribe,1055.1,758.3,224.6,15.05,19,234,30.1,0.926,12.4,0,0.5149,0.5025,3,0,0.4276
CL-0184,Residencial,Andina,160.7,134.3,82.9,6.03,14,117,12.2,0.862,15.7,2,-0.414,-0.7695,1,2,0.273
CL-0185,Comercial,Andina,1693.6,1138.0,291.0,20.54,15,231,15.4,0.84,20.7,0,-1.455,0.4704,2,1,0.5546
CL-0186,Comercial,Andina,957.2,679.6,215.1,12.61,21,248,17.3,0.921,7.2,0,1.0317,0.5855,3,0,0.4615
CL-0187,Residencial,Andina,246.0,205.8,84.3,6.24,10,99,16.6,0.797,25.1,1,-2.2502,-0.8408,1,3,0.5178
CL-0188,Residencial,Andina,91.8,74.5,55.2,4.39,8,77,18.0,0.967,9.0,0,1.6154,-0.8158,0,2,0.6828
CL-0189,Comercial,Caribe,713.7,528.5,84.2,7.01,7,282,30.6,0.951,9.9,0,1.1225,0.3636,3,0,0.2587
CL-0190,Residencial,Caribe,163.3,146.3,46.7,3.45,5,121,30.2,0.918,13.7,1,0.4655,-0.6511,0,2,0.4999
CL-0191,Industrial,Caribe,7998.5,4925.1,463.6,42.54,39,476,28.6,0.786,22.2,2,-2.4135,1.3007,2,1,0.6193
CL-0192,Residencial,Caribe,104.5,82.2,45.6,3.44,3,91,25.3,0.896,14.5,0,0.1625,-0.9598,0,2,0.2315
CL-0193,Residencial,Caribe,538.9,426.4,97.7,9.17,8,146,28.1,0.803,20.6,6,-1.7676,-0.2427,1,1,0.1101
CL-0194,Industrial,Andina,12459.1,8486.1,1152.8,67.37,106,469,17.8,0.768,25.1,1,-2.9869,1.4661,2,1,0.561
CL-0195,Residencial,Caribe,310.1,264.9,72.4,7.98,5,96,26.8,0.787,24.6,1,-2.3374,-0.6985,1,3,0.4321
CL-0196,Residencial,Caribe,231.3,188.6,57.7,4.98,6,115,30.3,0.9,13.1,3,0.2828,-0.4442,0,2,0.4009
